pdbId	chainId	id	COUNT(SCM.id)	maxRmsd
12as	A	1	4	0.493
12e8	H	2	2	0.959
13pk	A	3	5	3.716
19hc	A	4	2	0.463
1a04	A	5	3	0.750
1a05	A	6	2	0.219
1a0a	A	7	2	2.599
1a0c	A	8	4	0.001
1a0d	A	9	4	0.001
1a0e	A	10	2	0.001
1a0h	A	11	2	0.473
1a0j	A	12	4	0.859
1a0o	B	13	10	0.673
1a0r	G	14	3	0.994
1a0t	P	15	9	0.188
1a1m	A	16	152	2.589
1a1q	A	17	5	7.963
1a1s	A	18	2	1.196
1a21	B	19	2	1.416
1a25	A	20	2	0.159
1a26	A	21	9	0.821
1a2o	A	22	2	1.401
1a2x	A	23	4	11.718
1a2z	A	24	4	0.541
1a34	A	25	32	0.235
1a39	A	26	9	0.481
1a3a	C	27	4	0.784
1a3w	A	28	4	1.030
1a4b	A	29	18	1.008
1a4e	A	30	4	0.165
1a4k	B	31	4	3.729
1a4p	A	32	10	1.903
1a4s	A	33	8	0.320
1a5f	L	34	20	4.972
1a62	A	35	6	1.186
1a65	A	36	2	0.269
1a6d	A	37	2	0.830
1a6e	B	38	2	0.736
1a6j	B	39	2	0.695
1a6r	A	40	9	0.961
1a6t	A	41	2	0.455
1a6t	B	42	2	0.764
1a6u	H	43	5	1.051
1a6y	B	44	8	0.911
1a75	B	45	2	0.674
1a76	A	46	2	0.510
1a78	A	47	4	1.589
1a79	A	48	4	1.247
1a7d	A	49	3	0.250
1a7h	A	50	2	0.405
1a7k	A	51	24	0.801
1a7u	A	52	7	0.386
1a7v	A	53	4	1.025
1a80	A	54	3	1.548
1a81	A	55	6	1.618
1a88	A	56	3	0.252
1a8d	A	57	13	1.480
1a8t	A	58	18	0.891
1a92	A	59	4	1.331
1a95	B	60	28	2.620
1a99	A	61	5	1.482
1a9n	B	62	2	0.146
1a9n	C	63	2	0.160
1a9p	A	64	33	1.959
1a9w	E	65	2	0.048
1aa2	A	66	2	0.211
1aat	A	67	4	1.275
1aba	A	68	3	0.918
1abr	A	69	4	0.631
1ac6	A	70	2	0.812
1ad0	A	71	2	0.021
1ad0	B	72	2	0.267
1ad1	A	73	14	1.875
1ad3	A	74	2	0.171
1ad9	H	75	2	0.962
1ad9	L	76	2	0.613
1adj	A	77	10	2.362
1ae1	B	78	2	0.219
1ae7	A	79	2	1.147
1ae9	A	80	2	0.215
1af0	A	81	6	1.149
1af7	A	82	2	1.951
1afa	1	83	21	2.552
1afs	A	84	5	2.412
1afv	A	85	61	4.061
1afv	H	86	2	0.161
1afw	B	87	4	1.085
1ag8	A	88	8	0.180
1ag9	A	89	3	0.399
1agn	A	90	12	0.485
1agq	B	91	4	1.842
1agr	A	92	67	14.138
1agr	E	93	2	0.434
1ah0	A	94	8	2.189
1ah5	A	95	5	0.352
1ah7	A	96	7	0.349
1ah8	B	97	47	1.208
1ahi	A	98	6	1.332
1ahj	A	99	32	0.532
1ahp	A	100	22	1.119
1ahs	A	101	3	0.373
1ahw	B	102	4	1.343
1ahz	A	103	36	0.634
1ai1	H	104	2	0.314
1ai9	A	105	34	1.355
1aif	H	106	3	1.337
1aif	L	107	4	3.204
1aih	A	108	4	1.300
1aip	C	109	4	1.164
1aj0	A	110	25	1.175
1aj8	A	111	2	0.262
1ajk	A	112	2	0.477
1ajo	B	113	2	0.150
1ak2	A	114	2	0.418
1akh	A	115	2	0.165
1akl	A	116	5	1.231
1akn	A	117	4	1.778
1aks	B	118	7	3.227
1aln	A	119	4	0.242
1aly	A	120	14	1.531
1am2	A	121	2	0.599
1am4	A	122	5	1.223
1am9	C	123	4	1.370
1ama	A	124	23	1.673
1amm	A	125	6	0.552
1amu	A	126	2	0.445
1an4	A	127	2	3.951
1ann	A	128	3	1.696
1anw	A	129	19	2.005
1ao5	A	130	2	0.419
1aoc	A	131	2	3.163
1aoh	B	132	2	0.335
1aoi	D	133	28	2.125
1aoi	E	134	10	1.308
1aoj	A	135	6	13.840
1aoq	B	136	26	6.735
1aor	A	137	2	0.171
1aov	A	138	2	8.229
1aox	A	139	77	2.764
1aoz	A	140	8	0.310
1ap2	C	141	3	0.432
1ap2	D	142	3	0.661
1apx	A	143	4	0.345
1apz	A	144	4	0.577
1apz	B	145	4	0.369
1aq0	A	146	3	0.473
1aqy	A	147	6	0.977
1ar4	A	148	12	0.826
1arb	A	149	3	0.179
1aro	L	150	2	0.659
1asj	2	151	11	0.280
1ass	A	152	2	1.488
1asu	A	153	22	2.322
1asz	A	154	5	1.493
1at3	A	155	2	0.164
1ati	A	156	2	0.981
1att	A	157	2	1.039
1au1	A	158	2	2.089
1aug	A	159	12	0.505
1aui	A	160	2	0.326
1auo	A	161	4	0.488
